Date,spx,spx_normalised,log_price,log_return,dt,spx_max_drawdown,spx_max_drawdown_dur
2/11/1999,1347.739990234375,2.9355492871764617,7.206184387284628,-0.004722685,0.002739726,-0.4980263,3415 days
3/11/1999,1354.9300537109375,2.951210160836303,7.211505111103861,0.005320724,0.002739726,-0.500690071,3414 days
4/11/1999,1362.6400146484375,2.968003437,7.217179284302364,0.005674173,0.002739726,-0.503515219,3413 days
5/11/1999,1370.22998,2.9845353492355415,7.222733873689046,0.005554589,0.002739726,-0.506265343,3412 days
8/11/1999,1377.010009765625,2.9993031162482393,7.227669767958316,0.004935894,0.008219178,-0.508696361,3409 days
9/11/1999,1365.280029296875,2.973753725376752,7.219114836246785,-0.008554932,0.002739726,-0.504475262,3408 days
10/11/1999,1373.459961,2.991570657923669,7.225088353991024,0.005973518,0.002739726,-0.507426464,3407 days
11/11/1999,1381.459961,3.0089956764491843,7.230896161632582,0.005807808,0.002739726,-0.510278945,3406 days
12/11/1999,1396.060059,3.0407965479659955,7.241409304312195,0.010513142679612564,0.002739726,-0.515400484,3405 days
15/11/1999,1394.3900146484375,3.0371589796303087,7.240212333142045,-0.001196971,0.008219178,-0.514820085,3402 days
16/11/1999,1420.0699462890625,3.0930931402017907,7.258461407332217,0.018249074190172188,0.002739726,-0.523593869,3401 days
17/11/1999,1410.709961,3.0727059004330997,7.251848375044753,-0.006613032,0.002739726,-0.520432939,3400 days
18/11/1999,1424.939941,3.1037006095938104,7.261884945432988,0.01003657,0.002739726,-0.525222075,3399 days
19/11/1999,1422,3.097297042910331,7.259819610363186,-0.002065335,0.002739726,-0.524240486,3398 days
22/11/1999,1420.939941,3.094988100331053,7.259073862183677,-0.000745748,0.008219178,-0.523885557,3395 days
23/11/1999,1404.6400146484375,3.059484784616125,7.247536331606505,-0.011537531,0.002739726,-0.518360561,3394 days
24/11/1999,1417.0799560546875,3.086580560798654,7.2563536643900175,0.008817333,0.002739726,-0.522588668,3393 days
26/11/1999,1416.6199951171875,3.085578707316535,7.256029028084505,-0.000324636,0.005479452,-0.522433658,3391 days
29/11/1999,1407.8299560546875,3.0664328831285266,7.2498047595771995,-0.006224269,0.008219178,-0.519451887,3388 days
30/11/1999,1388.9100341796875,3.025222884,7.236274570447655,-0.013530189,0.002739726,-0.512905795,3387 days
1/12/1999,1397.719970703125,3.044412047873069,7.242597595650303,0.006323025,0.002739726,-0.515975987,3386 days
2/12/1999,1409.040039,3.0690685979820946,7.250663928146816,0.008066332,0.002739726,-0.519864581,3385 days
3/12/1999,1433.300048828125,3.1219099879314944,7.267734790996095,0.017070863,0.002739726,-0.527991344,3384 days
6/12/1999,1423.3299560546875,3.1001938565217126,7.260754444756444,-0.006980346,0.008219178,-0.524685034,3381 days
7/12/1999,1409.1700439453125,3.0693517651685216,7.2507561887512955,-0.009998256,0.002739726,-0.519908877,3380 days
8/12/1999,1403.8800048828125,3.0578293865854267,7.246995114325594,-0.003761074,0.002739726,-0.518099818,3379 days
9/12/1999,1408.1099853515625,3.0670428225892437,7.2500036482634815,0.003008534,0.002739726,-0.519547453,3378 days
10/12/1999,1417.040039,3.0864936165076102,7.256325495510606,0.006321847,0.002739726,-0.52257522,3377 days
13/12/1999,1415.219970703125,3.0825292758976333,7.2550402543225525,-0.001285241,0.008219178,-0.521961219,3374 days
14/12/1999,1403.1700439453125,3.056283001274385,7.246489273004429,-0.008550981,0.002739726,-0.517855992,3373 days
15/12/1999,1413.3299560546875,3.0784125833648184,7.253703869971091,0.007214597,0.002739726,-0.521321949,3372 days
16/12/1999,1418.780029296875,3.090283536766135,7.257552647029945,0.003848777,0.002739726,-0.523160733,3371 days
17/12/1999,1421.030029296875,3.095184323226436,7.259137260383929,0.001584613,0.002739726,-0.52391574,3370 days
20/12/1999,1418.0899658203125,3.0887804906582748,7.257066150650935,-0.00207111,0.008219178,-0.522928696,3367 days
21/12/1999,1433.4300537109375,3.1221931551179214,7.267825490070129,0.010759339419193381,0.002739726,-0.528034153,3366 days
22/12/1999,1436.1300048828125,3.1280739925164096,7.269707278158535,0.001881788,0.002739726,-0.528921458,3365 days
23/12/1999,1458.3399658203125,3.1764501151147733,7.285054058104334,0.015346779945799582,0.002739726,-0.536095804,3364 days
27/12/1999,1457.0999755859375,3.1737492585140927,7.284203421264567,-0.000850637,0.010958904109589041,-0.535701022,3360 days
28/12/1999,1457.6600341796875,3.1749691374355264,7.284587712663355,0.000384291,0.002739726,-0.535879414,3359 days
29/12/1999,1463.459961,3.1876021163357158,7.288558747327559,0.003971035,0.002739726,-0.537718798,3358 days
30/12/1999,1464.469970703125,3.1898020461953362,7.289248661245765,0.000689914,0.002739726,-0.538037623,3357 days
31/12/1999,1469.25,3.2002135585766553,7.292507345,0.003258684,0.002739726,-0.539540562,3356 days
3/1/2000,1455.219970703125,3.1696543685252094,7.2829123507924844,-0.009594995,0.008219178,-0.535101192,3353 days
4/1/2000,1399.4200439453125,3.048115024,7.243813175451547,-0.039099175,0.002739726,-0.516563999,3352 days
5/1/2000,1402.1099853515625,3.053974058695107,7.245733513413133,0.001920338,0.002739726,-0.517491469,3351 days
6/1/2000,1403.449951171875,3.056892675,7.246688735,0.000955222,0.002739726,-0.517952152,3350 days
7/1/2000,1441.469970703125,3.139705118,7.273418685,0.026729949729870306,0.002739726,-0.530666581,3349 days
10/1/2000,1457.5999755859375,3.1748383221719374,7.28454651,0.011127825,0.008219178,-0.53586029,3346 days
11/1/2000,1438.560059,3.133366958882795,7.271397932967297,-0.013148577,0.002739726,-0.529717216,3345 days
12/1/2000,1432.25,3.1196228478961476,7.267001913288687,-0.00439602,0.002739726,-0.527645293,3344 days
13/1/2000,1449.6800537109375,3.157587723997874,7.279098158454104,0.012096245165417407,0.002739726,-0.533324593,3343 days
14/1/2000,1465.1500244140625,3.1912832897592653,7.289712921951445,0.010614763497340363,0.002739726,-0.538252044,3342 days
18/1/2000,1455.1400146484375,3.169480214,7.282857405,-0.006855517,0.010958904109589041,-0.535075647,3338 days
19/1/2000,1455.9000244140625,3.1711356120891385,7.2833795618483315,0.000522157,0.002739726,-0.535318347,3337 days
20/1/2000,1445.5699462890625,3.148635387,7.276258949,-0.007120613,0.002739726,-0.531997721,3336 days
21/1/2000,1441.3599853515625,3.1394655558359164,7.273342381144517,-0.002916568,0.002739726,-0.530630768,3335 days
24/1/2000,1401.530029296875,3.052710840570493,7.245319796916058,-0.028022584,0.008219178,-0.517291806,3332 days
25/1/2000,1410.030029296875,3.071224922753853,7.251366280519099,0.006046484,0.002739726,-0.520201687,3331 days
26/1/2000,1404.0899658203125,3.058286708238623,7.247144660752431,-0.00422162,0.002739726,-0.518171879,3330 days
27/1/2000,1398.560059,3.046241866255219,7.243198456727948,-0.003946204,0.002739726,-0.516266731,3329 days
28/1/2000,1360.1600341796875,2.9626017241558094,7.215357643998215,-0.027840813,0.002739726,-0.502609978,3328 days
31/1/2000,1394.459961,3.0373113315531466,7.2402624945273395,0.024904850529124722,0.008219178,-0.514844421,3325 days
1/2/2000,1409.280029296875,3.069591327267086,7.250834235442746,0.010571740915406913,0.002739726,-0.519946345,3324 days
2/2/2000,1409.1199951171875,3.0692427524488646,7.250720671591999,-0.000113564,0.002739726,-0.519891825,3323 days
3/2/2000,1424.969970703125,3.103766017225605,7.261906019289919,0.011185347697919568,0.002739726,-0.52523208,3322 days
4/2/2000,1424.3699951171875,3.102459194013128,7.2614848862541965,-0.000421133,0.002739726,-0.525032097,3321 days
7/2/2000,1424.239990234375,3.102176026826701,7.26139361,-9.13E-05,0.008219178,-0.524988742,3318 days
8/2/2000,1441.719970703125,3.1402496497634025,7.273592103912474,0.012198493672594068,0.002739726,-0.530747966,3317 days
9/2/2000,1411.709961,3.074884027748789,7.252556986852722,-0.021035117,0.002739726,-0.520772646,3316 days
